Csnum number,Window number
2,5
id,maxCapacity,minSOC,chrDisPerHour,favouriteChargingStation,favouriteTimeSlots,constraintsPenalty,soccurrent
19,22,10,18,1,1;3;4;5,3;5,85
5,24,10,20,1,1;2;3;4,5;3,88
15,24,10,20,2,1,3;5,88
14,61,10,28,2,1,3;5,98
4,61,10,28,1,1;2,3;5,96
7,24,10,20,1,2;4;5,5;3,86
3,41,10,22,2,1;2;3;4,3;5,97
18,22,10,18,2,2;4;5,5;3,98
16,41,10,22,1,3;4;5,3;5,96
17,22,10,18,1,1;2;3;5,3;5,93
12,22,10,18,2,1;2;3;4;5,3;5,85
10,61,10,28,2,1;2;3;4,5;3,100
6,61,10,28,1,1;4,5;3,90
13,24,10,20,1,4;5,5;3,91
2,41,10,22,2,4,3;5,100
8,61,10,28,2,4,5;3,91
0,61,10,28,1,1;2;4;5,5;3,97
11,22,10,18,1,1;2;4;5,3;5,96
1,22,10,18,2,1;2;4;5,3;5,88
9,41,10,22,2,4;5,3;5,97
