Csnum number,Window number
2,10
id,maxCapacity,minSOC,chrDisPerHour,favouriteChargingStation,favouriteTimeSlots,constraintsPenalty,soccurrent
36,22,20,18,1,1;2;3;4;5;6;7;8;9;10,5;3,23
32,41,20,22,1,1,5;3,35
25,41,20,22,2,1;2;3;5;6;7;8;9;10,5;3,30
37,61,20,28,2,1;2;3;4;5;6;7;8;9;10,3;5,30
35,24,20,20,1,2;3;5;6;7;8,5;3,35
24,41,20,22,1,2;5;8;9;10,3;5,11
11,61,20,28,2,2;3;4;6;7;10,3;5,33
14,24,20,20,2,2,5;3,28
34,61,20,28,1,1;3;4;5;6;8;10,5;3,21
30,22,20,18,1,3;6,5;3,11
1,61,20,28,2,1;2;3;4;5;6;7;8;10,3;5,22
29,24,20,20,2,1;2;3;6;9,3;5,10
26,24,20,20,1,4;6;8,5;3,13
2,24,20,20,1,4;5;7;8;9,3;5,22
0,61,20,28,2,1;2;3;4;5;8;10,5;3,27
39,61,20,28,2,1;3;4;5;8;10,5;3,16
33,41,20,22,1,5,5;3,13
38,61,20,28,1,2;3;4;5;6;7;9;10,3;5,24
31,24,20,20,2,1;5,3;5,12
6,41,20,22,2,1;2;5;6;7;8;9;10,5;3,26
28,24,20,20,1,3;6;10,5;3,11
17,41,20,22,1,1;2;6;8,3;5,29
20,24,20,20,2,6,5;3,29
18,41,20,22,2,1;2;5;6;7;8;9;10,5;3,10
23,61,20,28,1,2;7,5;3,33
8,24,20,20,1,1;2;3;4;5;6;7;8;9;10,3;5,21
22,41,20,22,2,1;2;6;7;8;9,5;3,22
9,41,20,22,2,7,5;3,26
19,22,20,18,1,1;3;4;5,5;3,26
3,24,20,20,1,6;7;8;9,3;5,15
15,61,20,28,2,1;2;3;4;6;7;8;9;10,3;5,23
12,61,20,28,2,8;10,5;3,23
21,41,20,22,1,1;2;3;4;5;6;7;8;9;10,3;5,26
7,22,20,18,1,2;4;5;8;9,5;3,25
5,24,20,20,2,3;4;5;6;7;9,5;3,34
13,24,20,20,2,1;2;8;9,3;5,27
4,22,20,18,1,1;2;3;4;5;6;7;8;9;10,5;3,32
10,24,20,20,1,1;2;3;4;5;6;7;8;9;10,5;3,17
27,24,20,20,2,1,5;3,33
16,41,20,22,2,1;2;3;6;7;9;10,5;3,16
