Csnum number,Window number
4,10
id,maxCapacity,minSOC,chrDisPerHour,favouriteChargingStation,favouriteTimeSlots,constraintsPenalty,soccurrent
34,61,20,28,1,1;2;3;4;5;6;7;9,5;3,16
79,61,20,28,1,1;2;6;8,3;5,19
41,24,20,20,2,1;3;4;5;6;7;8;9;10,3;5,34
18,61,20,28,2,1;2;3;5;6;7;8;10,3;5,30
64,22,20,18,3,1;2;3;4;5;6;9,3;5,13
77,22,20,18,3,1;5;8;9,3;5,25
71,41,20,22,4,1;5,5;3,15
72,22,20,18,4,1;2;3;4;5;6;7;8;9;10,5;3,23
50,24,20,20,1,2,3;5,29
70,41,20,22,1,1;2;3;4;5;6;7;8;9;10,5;3,20
27,24,20,20,2,2,3;5,31
26,24,20,20,2,2,5;3,29
55,41,20,22,3,2;4,5;3,19
43,61,20,28,3,1;2;4;5,5;3,14
66,41,20,22,4,1;2;3;4;5;6;7;8;9;10,5;3,27
1,24,20,20,4,1;2;7;9;10,3;5,33
35,24,20,20,1,1;2;3;5;6;7;8;9;10,5;3,18
0,22,20,18,1,1;2;3;4;5;6;7;8;9;10,3;5,23
15,24,20,20,2,2;3;5;7;9,3;5,25
40,22,20,18,2,2;3;6;8;10,5;3,11
33,61,20,28,3,1;2;3;5;6;7;8;10,3;5,35
37,24,20,20,3,1;2;3;5;6;7;8;9;10,3;5,24
73,24,20,20,4,1;2;3,3;5,19
62,22,20,18,4,1;3;4;6;7;10,5;3,22
29,41,20,22,1,2;3;4;5;7;8;9;10,3;5,22
48,41,20,22,1,1;2;3;4;5;6;7;8;9;10,5;3,13
13,22,20,18,2,3;4;7;10,3;5,29
25,61,20,28,2,2;4;5;6;8;9;10,3;5,14
53,61,20,28,3,1;2;3;4;6;7;8;9;10,5;3,18
58,24,20,20,3,2;4;7;9;10,3;5,20
30,24,20,20,4,3;5;6;7,5;3,11
16,22,20,18,4,1;2;3;4;6;7;8;9,3;5,10
51,24,20,20,1,1;4;5;6;8,3;5,35
46,24,20,20,1,2;3;4;5;6;7;10,5;3,17
36,24,20,20,2,1;2;3;5;6;7;10,3;5,16
47,61,20,28,2,5,3;5,34
17,22,20,18,3,2;5;6;7;9,3;5,28
49,41,20,22,3,5;7;8;9,5;3,21
14,24,20,20,4,1;5;7;8;9;10,5;3,11
4,22,20,18,4,1;2;4;5;6;7;8;9;10,5;3,25
10,22,20,18,1,6;7;9,5;3,14
75,24,20,20,1,2;3;6;9;10,3;5,34
45,22,20,18,2,2;6,5;3,15
42,61,20,28,2,5;6;7,5;3,12
57,41,20,22,3,1;2;3;4;5;6;7;8;9;10,3;5,21
63,41,20,22,3,2;3;4;5;6;8;9;10,5;3,11
52,22,20,18,4,2;6;8;10,3;5,13
44,24,20,20,4,6,5;3,27
38,61,20,28,1,1;2;7;8;9;10,3;5,32
24,61,20,28,1,1;2;3;4;5;6;7;8;9;10,3;5,27
32,24,20,20,2,5;7;9;10,3;5,11
22,61,20,28,2,7;9,3;5,32
3,24,20,20,3,2;3;4;5;6;7;8;9,5;3,22
65,41,20,22,3,2;3;4;6;7;9;10,5;3,27
9,24,20,20,4,1;3,3;5,18
61,24,20,20,4,1;2;4;5;6;7;9;10,5;3,35
69,61,20,28,1,3;9;10,5;3,14
20,41,20,22,1,1;2;3;4;5;6;7;8;10,3;5,29
60,24,20,20,2,8,5;3,31
12,24,20,20,2,2;5;6;8;9;10,5;3,28
8,61,20,28,3,1;2;3;4;5;8;9,3;5,21
19,22,20,18,3,2;4;8;10,5;3,33
39,22,20,18,4,2;3;4;6;9;10,3;5,32
67,24,20,20,4,3;4;5;6;8;9,5;3,25
68,61,20,28,1,2;3;4;9;10,5;3,33
59,41,20,22,1,1;2;3;4;5;6;7;9;10,3;5,11
2,61,20,28,2,1;2;3;4;5;6;7;9;10,5;3,25
76,41,20,22,2,1;2;5;6;7;8;9,5;3,16
11,41,20,22,3,2;7;9,5;3,25
74,22,20,18,3,2;3;4;5;9;10,3;5,34
54,41,20,22,4,1;4;6;8;9,5;3,19
56,22,20,18,4,2;3;4;6;9;10,5;3,28
7,61,20,28,1,1;5;6;7;10,5;3,16
6,41,20,22,1,1;2;3;4;5;6;7;8;9;10,3;5,11
5,61,20,28,2,1;2;3;4;5;6;7;8;9;10,5;3,24
28,24,20,20,2,2;10,3;5,16
23,22,20,18,3,1;2;3;4;6;7;8;10,3;5,34
31,22,20,18,3,5;9;10,5;3,20
78,41,20,22,4,1;2;3;5;8;9;10,3;5,21
21,24,20,20,4,1;2;4;6;9;10,5;3,25
