Csnum number,Window number
4,10
id,maxCapacity,minSOC,chrDisPerHour,favouriteChargingStation,favouriteTimeSlots,constraintsPenalty,soccurrent
38,24,10,20,1,1;2;3;4;6;7,3;5,98
68,22,10,18,1,1;3;4,5;3,98
69,22,10,18,2,1;2;3;4;6;7;8;9,3;5,99
5,61,10,28,2,1;2;4;5;6;7;8;10,5;3,90
66,24,10,20,3,1;2;3;6;7;8,5;3,88
22,24,10,20,3,1;2;3;4;5;7;8;9;10,3;5,96
57,22,10,18,4,1;2;3;5;7;8;9;10,3;5,91
2,24,10,20,4,1;4;5;6;7;9,5;3,90
40,22,10,18,1,1;2;3;4;5;7;8;9;10,3;5,91
7,24,10,20,1,2;3;4;6;7;10,3;5,99
21,24,10,20,2,1;2;3;4;5;6;7;8;9;10,5;3,88
36,24,10,20,2,2;3;4;5;6;7;8;9;10,5;3,99
11,61,10,28,3,1;2;9,5;3,97
67,22,10,18,3,2;3;9;10,5;3,91
52,61,10,28,4,2;5,5;3,96
78,22,10,18,4,2;10,5;3,90
25,41,10,22,1,3,5;3,100
41,24,10,20,1,3;4;5,3;5,98
23,22,10,18,2,2;3;4;5;7;8;9,3;5,91
77,22,10,18,2,3;4;5;6;7;8;10,3;5,99
54,22,10,18,3,3;7,3;5,86
64,41,10,22,3,3;4,5;3,96
72,61,10,28,4,2;3;5;6,5;3,98
18,41,10,22,4,3;5;9;10,5;3,100
70,41,10,22,1,2;4;7;8;10,5;3,99
16,61,10,28,1,4;7,5;3,99
46,41,10,22,2,1;3;4;5;8;9,5;3,100
45,61,10,28,2,4;5;10,5;3,94
9,24,10,20,3,3;4;6;7;8;9,5;3,98
14,41,10,22,3,2;3;4;5;6;7;8;9;10,3;5,88
59,24,10,20,4,1;2;3;4;6;7;9;10,3;5,94
48,24,10,20,4,4;5;6;7;8;9,5;3,97
63,61,10,28,1,5,5;3,97
42,24,10,20,1,1;3;4;5;6;7;8;9;10,3;5,99
79,61,10,28,2,5,5;3,94
24,41,10,22,2,1;2;3;4;5;6;7;8;9;10,3;5,95
31,41,10,22,3,5;6;8;9;10,3;5,92
43,41,10,22,3,1;5;6;10,3;5,95
50,41,10,22,4,1;2;3;5;6;7;8,5;3,93
27,24,10,20,4,5,3;5,88
30,22,10,18,1,2;4;6,5;3,99
28,61,10,28,1,1;5;6,5;3,90
3,22,10,18,2,1;6;9;10,5;3,97
10,61,10,28,2,1;3;4;6;7;8;9;10,3;5,100
53,61,10,28,3,1;2;6;7;8,5;3,96
65,41,10,22,3,2;5;6;7;8;9,3;5,98
56,41,10,22,4,1;2;3;4;5;6;7;8;9;10,3;5,92
39,41,10,22,4,6;7,3;5,90
34,41,10,22,1,1;4;7;8,5;3,93
29,61,10,28,1,1;2;3;4;6;7;8;10,5;3,100
71,22,10,18,2,1;2;5;6;7;10,3;5,99
73,22,10,18,2,7,5;3,87
51,41,10,22,3,2;3;4;5;6;8,3;5,100
12,41,10,22,3,1;7;9,3;5,85
74,24,10,20,4,7,5;3,99
20,24,10,20,4,1;2;3;4;5;6;7;8;9,5;3,94
37,41,10,22,1,1;3;8;9,5;3,87
76,41,10,22,1,3;4;5;6;8;9;10,5;3,97
75,61,10,28,2,1;2;5;6;8;9,5;3,98
26,41,10,22,2,1;3;4;8,3;5,92
4,22,10,18,3,1;8,5;3,86
17,61,10,28,3,2;7;8;9,5;3,90
44,61,10,28,4,3;4;5;7;8;10,3;5,90
55,41,10,22,4,1;3;4;5;7;8;9;10,3;5,85
1,61,10,28,1,1;2;3;4;5;6;7;8;9;10,3;5,97
13,22,10,18,1,1;2;4;6;7;8;9;10,3;5,90
60,24,10,20,2,2;3;7;9;10,5;3,94
15,61,10,28,2,1;2;3;4;5;6;7;8;9;10,3;5,99
32,61,10,28,3,1,3;5,89
49,24,10,20,3,1;2;3;4;6;9;10,3;5,98
47,41,10,22,4,1;4;5;9,5;3,91
19,22,10,18,4,1;3;4;5;6;7;8;9,5;3,94
61,61,10,28,1,1;2;3;4;5;6;7;9;10,5;3,94
6,22,10,18,1,1;2;3;4;5;6;7;8;9;10,5;3,100
62,22,10,18,2,1;2;3;4;5;6;7;8;9;10,5;3,92
58,22,10,18,2,1;4;5;6;7;8;10,5;3,92
8,41,10,22,3,1;2;4;6;9,5;3,95
0,61,10,28,3,3;5;6;7;8;10,5;3,94
35,41,10,22,4,10,5;3,98
33,24,10,20,4,3;5;6;10,5;3,88
